Topic0-主题词,Topic0-权重,Topic1-主题词,Topic1-权重,Topic2-主题词,Topic2-权重,Topic3-主题词,Topic3-权重,Topic4-主题词,Topic4-权重,Topic5-主题词,Topic5-权重,Topic6-主题词,Topic6-权重,Topic7-主题词,Topic7-权重,Topic8-主题词,Topic8-权重,Topic9-主题词,Topic9-权重,Topic10-主题词,Topic10-权重,Topic11-主题词,Topic11-权重,Topic12-主题词,Topic12-权重,Topic13-主题词,Topic13-权重,Topic14-主题词,Topic14-权重,Topic15-主题词,Topic15-权重,Topic16-主题词,Topic16-权重,Topic17-主题词,Topic17-权重,Topic18-主题词,Topic18-权重
卫生,0.031,出行,0.021,房间,0.049,老板,0.041,不错,0.045,房间,0.058,老板,0.041,民宿,0.042,环境,0.029,房间,0.046,民宿,0.031,环境,0.037,卫生,0.040,房间,0.028,民宿,0.044,民宿,0.041,房间,0.032,房间,0.022,环境,0.028
不错,0.031,店家,0.021,干净,0.021,房间,0.027,房间,0.039,干净,0.032,房间,0.036,房间,0.031,民宿,0.023,干净,0.031,房间,0.024,房间,0.025,酒店,0.029,不错,0.025,咖啡,0.026,房间,0.039,民宿,0.030,民宿,0.017,民宿,0.024
舒服,0.026,介绍,0.014,卫生,0.018,干净,0.022,老板,0.020,不错,0.026,民宿,0.030,环境,0.026,干净,0.023,卫生,0.026,老板,0.020,干净,0.024,推荐,0.023,入住,0.024,环境,0.020,干净,0.025,位置,0.019,不错,0.017,干净,0.023
环境,0.025,不错,0.014,隔音,0.014,入住,0.018,环境,0.018,民宿,0.024,热情,0.024,干净,0.023,好吃,0.014,民宿,0.026,舒服,0.016,入住,0.022,房间,0.023,民宿,0.019,设施,0.020,体验,0.022,感觉,0.018,位置,0.014,房间,0.023
民宿,0.022,干净,0.014,环境,0.014,民宿,0.015,干净,0.017,推荐,0.020,环境,0.018,不错,0.018,推荐,0.014,舒服,0.018,体验,0.016,不错,0.020,续订,0.017,客服,0.018,小朋友,0.018,整体,0.019,不错,0.016,老板,0.014,不错,0.022
房间,0.021,贴心,0.007,民宿,0.014,满意,0.013,民宿,0.017,酒店,0.017,不错,0.017,好看,0.016,不错,0.014,推荐,0.015,干净,0.016,推荐,0.016,入住,0.017,环境,0.017,性价比,0.013,老板,0.019,环境,0.015,地理位置,0.011,老板,0.018
位置,0.020,夜景,0.007,感觉,0.011,适合,0.011,地理位置,0.012,设施,0.014,喜欢,0.016,管家,0.013,酒店,0.014,朋友,0.013,不错,0.016,步行,0.014,满意,0.017,干净,0.017,地理位置,0.013,卫生,0.015,舒服,0.015,地方,0.008,住宿,0.014
设施,0.016,泳池,0.007,智能,0.011,不错,0.010,卫生,0.012,值得,0.014,舒服,0.014,贴心,0.013,位置,0.012,入住,0.013,好吃,0.012,老板,0.014,朋友,0.012,酒店,0.015,服务态度,0.013,位置,0.015,推荐,0.014,距离,0.008,体验,0.014
老板,0.015,步行街,0.007,不错,0.011,推荐,0.010,喜欢,0.011,热情,0.012,位置,0.010,喜欢,0.013,总体,0.012,老板,0.013,回来,0.012,感觉,0.010,好吃,0.012,感觉,0.013,价格,0.009,不错,0.015,干净,0.013,管家,0.008,感觉,0.014
干净,0.013,中心,0.007,入住,0.011,拍照,0.010,位置,0.011,环境,0.012,酒店,0.009,老板,0.013,热情,0.012,管家,0.011,惬意,0.012,走路,0.010,干净,0.012,装修,0.011,艺术,0.009,酒店,0.011,体验,0.013,客服,0.008,老板娘,0.014
走路,0.011,管家,0.007,机会,0.007,打车,0.009,满意,0.010,入住,0.011,卫生,0.009,泳池,0.010,卫生,0.012,步行,0.009,解决,0.012,广场,0.010,灰尘,0.006,满意,0.011,品牌,0.009,喜欢,0.011,老板,0.012,只能,0.008,推荐,0.014
酒店,0.011,超赞,0.007,朋友,0.007,整洁,0.009,舒服,0.010,位置,0.011,满意,0.009,好吃,0.010,舒适,0.012,地方,0.009,感觉,0.012,耐心,0.008,需求,0.006,客人,0.008,店员,0.009,感觉,0.011,老板娘,0.012,舒服,0.008,热情,0.014
烟霞,0.009,餐厅,0.007,地铁,0.007,很棒,0.009,设施,0.009,舒服,0.010,干净,0.009,整体,0.010,行李,0.012,露台,0.009,热情,0.012,民宿,0.008,我会,0.006,回复,0.008,细节,0.009,地铁站,0.008,喜欢,0.012,地板,0.008,装修,0.011
强迫症,0.009,路线,0.007,名宿,0.007,小朋友,0.009,坡子,0.008,卫生,0.010,舒适,0.008,早餐,0.008,房间,0.012,地理位置,0.009,环境,0.012,位置,0.008,效果,0.006,地理位置,0.008,感觉,0.009,服务态度,0.008,酒店,0.010,环境,0.008,风格,0.011
房东,0.009,柚子,0.007,院子,0.007,位置,0.009,拍照,0.008,管家,0.010,行李,0.008,店长,0.008,服务员,0.009,很大,0.009,房子,0.008,客服,0.007,没得,0.006,解决,0.008,前台,0.009,超大,0.008,入住,0.009,体验,0.007,管家,0.011
地方,0.009,清新,0.007,味道,0.007,地方,0.007,体验,0.008,喜欢,0.010,装修,0.007,适合,0.008,贴心,0.009,感觉,0.009,入住,0.008,友好,0.007,餐馆,0.006,地段,0.008,地铁站,0.009,舒适,0.008,贴心,0.008,空调,0.006,舒服,0.011
热情,0.009,繁华,0.007,找到,0.007,阳台,0.007,适合,0.008,老板,0.009,值得,0.007,地理位置,0.008,管家,0.009,江景,0.009,便利,0.008,还给,0.007,细节,0.006,放在,0.007,地铁,0.009,热情,0.008,烧烤,0.008,感受,0.006,卫生,0.011
推荐,0.008,柚子茶,0.007,整体,0.007,朋友,0.006,风格,0.008,感觉,0.009,阳台,0.007,卫生,0.008,拍照,0.009,环境,0.009,攻略,0.008,景点,0.007,打车,0.006,停车场,0.006,手冲,0.009,性价比,0.008,热情,0.008,洗衣机,0.006,位置,0.010
喜欢,0.008,区域,0.007,早餐,0.007,出去玩,0.006,推荐,0.008,整洁,0.008,照片,0.006,性价比,0.008,地方,0.009,位置,0.009,交通,0.008,狗狗,0.007,理想,0.006,布置,0.006,老板,0.009,周到,0.008,装修,0.008,行李箱,0.006,喜欢,0.010
闺蜜,0.007,美女,0.007,舒适度,0.007,疲惫,0.006,服务态度,0.008,很大,0.008,提供,0.006,推荐,0.008,提前,0.009,热心,0.007,花园,0.008,完美,0.007,好像,0.006,宽敞,0.006,舒适,0.009,坡子,0.006,设施,0.008,负责人,0.006,法式,0.009
店家,0.007,回来,0.007,热情,0.007,住宿,0.006,感觉,0.008,出行,0.007,住宿,0.006,院子,0.008,前台,0.009,坡子,0.007,店主,0.008,美食,0.007,区域,0.006,空调,0.006,入住,0.007,出行,0.006,朋友,0.008,复式,0.006,舒适,0.009
姐姐,0.007,氛围,0.007,优越,0.007,咖啡馆,0.005,酒店,0.007,拍照,0.007,女朋友,0.006,拍照,0.008,满意,0.009,好吃,0.007,小酒馆,0.008,距离,0.007,天花板,0.006,态度,0.006,房间,0.006,带给,0.004,住宿,0.008,洗手间,0.006,超好,0.009
交通,0.007,设施,0.007,小度,0.007,行李,0.005,入住,0.007,市中心,0.007,泳池,0.006,酒店,0.007,选择,0.006,帮忙,0.007,推荐,0.008,热情,0.007,管家,0.006,卫生,0.006,名头,0.005,世外桃源,0.004,氛围,0.007,冰箱,0.006,很棒,0.009
机会,0.007,睡觉,0.007,贴心,0.007,房子,0.005,房东,0.006,交通,0.007,出行,0.006,坡子,0.006,粉店,0.006,便利,0.007,酒店,0.008,正街,0.007,水果,0.006,开门,0.006,草坪,0.005,到达,0.004,卫生,0.007,空间,0.006,酒店,0.007
步行街,0.006,姐姐,0.007,行李,0.007,马桶,0.005,卫生间,0.006,露台,0.006,地方,0.006,靠近,0.006,优雅,0.006,可爱,0.007,位置,0.008,地理位置,0.007,还好,0.006,浴缸,0.006,喝到,0.005,智能,0.004,很棒,0.006,叫外卖,0.006,咖啡厅,0.006
好看,0.006,热心,0.007,老板,0.007,开阔,0.005,管家,0.006,朋友,0.006,房子,0.005,卫生间,0.006,浴室,0.006,满意,0.007,喜欢,0.008,服务态度,0.007,地铁,0.006,舒服,0.006,早餐,0.005,条件,0.004,时间,0.006,早餐,0.006,一楼,0.006
味道,0.006,名宿,0.007,体验,0.007,归属,0.005,整洁,0.006,步行,0.006,空调,0.005,位于,0.005,惬意,0.006,好看,0.007,卫生,0.008,房东,0.007,点心,0.006,休息,0.006,重度,0.005,行李,0.004,交通,0.006,卫生间,0.006,算是,0.006
很大,0.006,惬意,0.007,满意,0.007,下楼,0.005,步行,0.006,地铁,0.006,疲惫,0.005,落地窗,0.005,很棒,0.006,酒店,0.007,休憩,0.004,舒服,0.007,前台,0.006,热情,0.006,归家,0.005,给予,0.004,很好,0.005,很大,0.006,整洁,0.006
餐厅,0.006,格调,0.007,地理位置,0.007,艺术,0.005,惬意,0.006,地铁站,0.006,院子,0.005,步行,0.005,闺蜜,0.006,不错,0.007,湘菜,0.004,喜欢,0.007,先订,0.006,时光,0.006,民俗,0.005,孩子,0.004,广场,0.005,靠窗,0.006,选择,0.006
暖和,0.005,服务态度,0.007,氛围,0.007,两张床,0.005,住宿,0.006,号线,0.006,希望,0.004,挺大,0.005,打扫,0.006,体验,0.007,适合,0.004,到位,0.007,便捷,0.006,走廊,0.006,提升,0.005,蜗牛,0.004,适合,0.005,打扫,0.006,小楼,0.006
智能,0.005,露营,0.007,位置,0.007,相比,0.005,需求,0.005,适合,0.006,帮忙,0.004,很漂亮,0.005,朋友,0.006,贴心,0.007,心累,0.004,满意,0.007,空调,0.006,喜欢,0.006,吃糖,0.005,民巷,0.004,客服,0.005,贴心,0.006,花园,0.006
想象,0.005,私汤,0.007,出门,0.007,床品,0.005,超近,0.004,出门,0.005,亲切,0.004,无敌,0.005,绝美,0.006,牙膏,0.004,放松,0.004,提前,0.007,制热,0.006,整体,0.006,细问,0.005,生活用品,0.004,阳台,0.005,失望,0.006,二楼,0.006
好吃,0.005,风格,0.007,开灯,0.004,治理,0.005,很好,0.004,坡子,0.005,好玩,0.004,漂亮,0.005,态度,0.006,图片,0.004,大床,0.004,提醒,0.005,座位,0.006,体验,0.006,意式,0.005,吵闹,0.004,地方,0.005,喜欢,0.006,完美,0.006
窗户,0.005,广场,0.007,帮忙,0.004,停不下来,0.005,整体,0.004,友好,0.005,周到,0.004,咖啡,0.005,女朋友,0.006,套装,0.004,舒心,0.004,小伙伴,0.004,店里,0.006,设施,0.006,想着,0.005,魅力,0.004,行李,0.004,楼层,0.006,地址,0.006
投影,0.005,距离,0.007,出差,0.004,喧闹,0.005,晒太阳,0.004,贴心,0.005,智能,0.004,美景,0.005,值得,0.006,宗街,0.004,栖息,0.004,商圈,0.004,地区,0.006,投影,0.005,包子铺,0.005,同学,0.004,用心,0.004,设施,0.006,简单,0.003
体验,0.005,舒服,0.007,穿衣服,0.004,完善,0.005,阳台,0.004,体验,0.005,性价比,0.004,很大,0.005,寄存,0.006,行李,0.004,人生,0.004,解答,0.004,优秀,0.006,区域,0.005,照片,0.005,软件,0.004,总体,0.004,文和友,0.006,走廊,0.003
打扫,0.005,朋友,0.007,可惜,0.004,气味,0.005,时光,0.004,环境优美,0.005,风格,0.004,价格,0.005,商圈,0.006,店家,0.004,铁盒,0.004,醒来,0.004,房东,0.006,提前,0.005,用品,0.005,硬件,0.004,居住,0.004,缺点,0.006,合影,0.003
浴缸,0.005,位置,0.007,露营,0.004,日料,0.005,好找,0.004,前台,0.005,同学,0.004,夜市,0.005,风景,0.006,明亮,0.004,缘故,0.004,拥挤,0.004,死角,0.006,外卖,0.005,露营,0.005,细节,0.004,惬意,0.004,卫生,0.006,反馈,0.003
态度,0.005,体验,0.007,拖鞋,0.004,大厦,0.005,到位,0.004,很棒,0.004,适合,0.004,距离,0.005,床品,0.006,广场,0.004,地点,0.004,不太好,0.004,拖鞋,0.006,洗衣机,0.005,筐子,0.005,老街,0.004,管家,0.004,推荐,0.006,露台,0.003
早餐,0.005,住宿,0.007,管家,0.004,威士忌酒,0.005,投影,0.004,热水,0.004,设施,0.004,温暖,0.005,舒服,0.006,装修,0.004,喝茶,0.004,小哥,0.004,热情,0.006,只能,0.005,味道,0.005,便利,0.004,坡子,0.004,入住,0.006,充满,0.003
距离,0.005,喜欢,0.007,收费,0.004,智能,0.005,打麻将,0.004,冰箱,0.004,感觉,0.004,热情,0.005,市中心,0.006,投影,0.004,分离,0.004,江景,0.004,碰上,0.006,茶几,0.004,不算,0.005,味道,0.004,夜景,0.004,饮品,0.006,价格,0.003
差点,0.004,到位,0.007,兔年,0.004,格调,0.005,闺蜜,0.004,早餐,0.004,小时,0.004,店家,0.005,人员,0.006,预定,0.004,找到,0.004,服务员,0.004,停车场,0.006,杂志,0.004,选择,0.005,吸引,0.004,服务态度,0.004,衣服,0.006,小吃店,0.003
朋友,0.004,坡子,0.007,投影,0.004,舒服,0.005,干湿,0.004,机会,0.004,外卖,0.004,设施,0.005,高铁,0.003,打卡,0.004,排水口,0.004,惊喜,0.004,体验,0.006,落地,0.004,爷爷,0.005,光顾,0.004,温暖,0.004,干湿,0.006,热闹,0.003
布置,0.004,很漂亮,0.007,带上,0.004,出行,0.005,老板娘,0.004,居住,0.004,安排,0.004,装修,0.005,店里,0.003,阳台,0.004,温柔,0.004,名宿,0.004,地理位置,0.006,马桶,0.004,松果,0.005,进出,0.004,信息,0.004,干净,0.006,套间,0.003
惊喜,0.004,地理位置,0.007,蓄水,0.004,放心,0.005,很棒,0.004,住宿,0.004,打开,0.004,出行,0.005,开阔,0.003,好评,0.004,下雨,0.004,布置,0.004,设施,0.006,占去,0.004,便宜,0.005,床上用品,0.004,像是,0.003,总体,0.006,躺平,0.003
小店,0.004,出片,0.007,相隔,0.004,出片,0.005,姐妹,0.004,空调,0.004,拖鞋,0.004,可爱,0.005,很大,0.003,宠物,0.004,阳台,0.004,孩子,0.004,整洁,0.006,分为,0.004,爱好者,0.005,咖啡馆,0.004,希望,0.003,帮忙,0.006,逛起来,0.003
理想,0.004,前台,0.007,楼梯,0.004,面积,0.005,聚会,0.004,便利,0.004,推荐,0.003,满意,0.005,酒吧,0.003,拍照,0.004,舒适,0.004,行李,0.004,咖啡,0.006,经历,0.004,平地,0.005,繁忙,0.004,舒适,0.003,分离,0.006,气息,0.003
文艺,0.004,同价位,0.007,面积,0.004,味道,0.005,惊喜,0.004,地理位置,0.004,咖啡,0.003,感觉,0.005,大厦,0.003,吹风机,0.004,空调,0.004,旅住,0.004,运气,0.006,紧挨,0.004,购买,0.005,小店,0.004,巷子,0.003,很棒,0.004,音质,0.003
