评论内容,fenci
酒店设施非常完善 ，卫生干净 ，周围包括里面环境也很好 ，隔音效果也非常好 ，重点是最最好的是服务，基本上都是有答必应（能帮助到我们的），求助了工作人员 非常有耐心的帮忙 很感谢！,酒店设施 完善 卫生 干净 包括 环境 隔音 效果 重点 有答 求助 工作人员 耐心 帮忙 感谢
卫生：打扫很到位，看着很舒服，就像小家一样，很温馨。 服务：密码发送很及时，有问必答。 位置：楼下夜宵摊能开到凌晨两点钟，很晚饿了都能下楼找东西吃，很便捷。 装修：装修的细节能看出房东花了很多心思，很细节了。 设施：智能马桶，戴森吹风机，4投影,卫生 打扫 到位 看着 舒服 小家 密码发送 位置 摊能 开到 下楼 便捷 装修 装修 细节 房东 心思 细节 设施 智能 马桶 吹风机 投影
很好的一家店，环境很好哦，非常干净。店内复古风格我很喜欢，非常不错的一次出行体验。离五一广场很近，附近有很多可以逛的店铺，下次来还会选择这里哦！,很好 环境 干净 风格 喜欢 不错 出行 体验 店铺 选择
跟对象来长沙旅游，很高兴入住那么舒适的民宿，服务特别的亲切周到，真真切切是我想象中民宿的体验感了，所有东西都安排妥当了，设施也很齐全，入住过程也是非常的顺利，尊的很不差！,对象 入住 舒适 民宿 亲切 周到 想象 民宿 体验 安排 妥当 设施 入住 过程 顺利
地理位置很优越，周边吃饭很方便，离景点也很近，去五一、、解放西走路就到了，楼下就是咖啡店，环境特别漂亮。房间很干净，住得也很舒心，各种 设施一应俱全，布置得特别温譽漂亮，对女孩子来说简直是梦中情房！下次来长沙还要住家民宿！,地理位置 优越 吃饭 景点 解放 走路 咖啡店 环境 漂亮 房间 干净 舒心 设施 布置 温譽 漂亮 女孩子 情房 住家 民宿
性价比极高！非常干净舒适，这周过来长沙很冷，暖气非常的足不用担心冷。房间设施配备齐全，吹风筒还是戴森的，这点太赞了！,性价比 干净 舒适 暖气 不用 担心 房间 设施 配备 吹风
设施：复古的英式风格，一楼是咖啡厅，二楼和三楼是住宿房间，房间是密码的，电动马桶，戴森吹风机，洗漱用品齐全卫生：房间很干净，床品也舒服，就是床板有些硬,设施 风格 一楼 咖啡厅 二楼 住宿 房间 房间 密码 电动 马桶 吹风机 洗漱 用品 卫生 房间 干净 床品 舒服 床板
很开心最近淡季来长沙旅游，不仅仅住到这么高性价比的房间，也有很好的体验，各个方面的设施很好。不知道是不是最近客人比较少，民宿管家的服务质量也特别高，回复消息也很快，入住当天天气也很好，太惬意了！,开心 淡季 房间 很好 体验 设施 客人 民宿 管家 服务质量 回复 消息 入住 天气 惬意
很庆幸自己选择了这家民宿，性价比很高，不仅设施设备好，主要是服务态度非常好，包括打扫卫生的阿姨都会跟我们打招呼，环境也很好，很满意下次放假再来！,庆幸 选择 民宿 性价比 设施 服务态度 包括 打招呼 环境 满意 放假
一家很有温度的民宿，房间特别是干净，连厕所都非常哇塞，很喜欢这种干湿分离的房型。房间设施也是非常齐全。服务很很周到，给我们搬行李，房间在三楼就一个房间，很安静，早上醒来真的很温暖！下次一定还来！,温度 民宿 房间 干净 厕所 喜欢 干湿 分离 房型 房间 设施 周到 行李 房间 房间 醒来 温暖
这家民宿挺干净舒适的，也考虑的很周到细节，民宿装修也很有格调！房间的装修风格让人心旷神怡！最舒服的就是床，能躺一天！个人感觉还是性价比蛮高的！,民宿 干净 舒适 周到 细节 民宿 装修 格调 房间 装修 风格 个人感觉 性价比 蛮高
楼下咖啡店楼上民宿别太爱，下午喝个下午茶阳光透过玻璃打进来超出片，二楼还有一个花窗，好多明星网红都打卡过！房间也特别温馨舒适！下次还来！,咖啡店 民宿 下午茶 透过 玻璃 超出 二楼 花窗 打卡 房间 舒适
干净整洁 风格也是我喜欢的类型 躺床上就不想起来了🤪位置也很好找 晚上还可以在附近逛逛 附近啥都有 也有很多好卡的地方 超出片！😍,干净 整洁 风格 喜欢 类型 床上 不想 位置 好找 逛逛 地方 超出
位置优越，交通便利，位置很好，出行方便。前台服务热情，效率高，周到。房间采光好，明亮，舒适，卫生很干净，周到。非常好，强力推荐！,位置 优越 交通 便利 位置 出行 前台 热情 效率高 周到 房间 采光 明亮 舒适 卫生 干净 周到 强力 推荐
装修很喜欢，设施也很好用，周边都很方便，管家服务不错，唯一的问题，就是雨果太小了，两个人施展不开，适合一个人或者两个人特种兵旅游，如果预算高换个大房间更好了。,装修 喜欢 设施 好用 管家 不错 雨果 太小 适合 特种兵 预算 房间
非常满意这次的住宿环境 很爱这种欧式风格 位置也好找 附近都是好玩的好吃的 店内还有下午茶可以进行拍照打卡,满意 住宿 环境 欧式 风格 位置 好玩 好吃 下午茶 拍照 打卡
这次旅行最大的收获，就是我在外玩来到本店就像回到了家一样的，服务热情. 干净卫生，还有24个小时的管家服务，,收获 在外 来到 本店 回到 热情 干净 卫生 小时 管家
房间很整洁，环境也很漂亮，拍照特别特别出片，推荐！,房间 整洁 环境 很漂亮 拍照 出片 推荐
好看！喜欢！特别好！,好看 喜欢
太漂亮了，非常有品位的一家民宿，法式的松弛感，床品的品质也非常好，还会再来。,品位 民宿 法式 松弛 床品 品质
很推荐 很漂亮 服务也很好,推荐 很漂亮
很美！来长沙打卡的宝子们都来这里拍照,打卡 宝子 拍照
房间很干净 舒心！！,房间 干净 舒心
唔错，下次会再选择哩度,选择
房间环境很好，客服态度也非常好，一楼有一个大沙发，还有投影仪 可以看电影，二楼有我最爱的4，玩了一晚上双人成行，真的太适合周末度假了！！民宿旁边吃吃喝喝的店超级多，还临地铁口，出门就可以到处玩，地段也很完美,房间 环境 客服 态度 一楼 投影仪 电影 二楼 最爱 双人 成行 适合 度假 民宿 还临 地铁口 出门 地段 完美
第二次入住啦……电梯及入户都很干净……楼下就是广场，交通便利…离地铁口也就几百米，晚上很多小吃。选择多多….房间布置温馨…很有家的感觉….后面两天住的麻将房，很适合朋友一起玩乐，喝个小酒….很不错的入住体验…下次来还住这里…..,入住 电梯 入户 干净 广场 交通 便利 地铁口 小吃 选择 房间 布置 感觉 麻将 适合 朋友 玩乐 不错 入住 体验
很不错，非常的好，设施齐全舒适，卫生干净，环境很好，服务也不错，值得推荐！绝对不会踩雷的！,不错 设施 舒适 卫生 干净 环境 不错 值得 推荐
写字楼下周围吃的很丰富，交通很方便，离马场地铁口10分钟的距离。两张床，房间够大。一家老小住很合适。,写字楼 交通 马场 地铁口 距离 两张床 房间 合适
满意 房间干净 被子也舒服 个人觉得住的比酒店舒服 护发素也是那种比较好的 房间拍照也挺出片的 推荐推荐,满意 房间 干净 被子 舒服 酒店 舒服 护发素 房间 拍照 推荐 推荐
非常喜欢梦 每次出门都是预定梦 坏境好价格优惠,喜欢 出门 预定 价格
环境特别好 住在里面特别温馨卫生也特别安静,环境 卫生
第二次，还是只隔了一个星期，又来体验了一下这家店的其他房间，依然很满意，我还是觉得很好，他们家每天有不同的特价房间，大家可以根据需求预定自己喜欢的样子，情侣啊，长辈啊，亲子的都很赞的。楼下夜宵，长沙特色小吃也都蛮全的。还是很赞。出行方便。赞赞赞图片这次没拍，跟店家宣传的一模一样，没差我这里还是想提了一小小的建议，冰箱里可以放点需要购买的水品和饮料吗？有时候太晚真不想自己带水啦😂😂，还不想下楼，年轻人有点累啊😆,体验 房间 满意 特价 房间 需求 预定 喜欢 样子 情侣 长辈 亲子 特色小吃 出行 赞赞 图片 没拍 店家 没差 建议 冰箱 购买 水品 饮料 不想 带水 不想 下楼 年轻人 有点累
满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意满意,满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意 满意
住的感觉非常好，投影和游戏机的体验感也很棒，和商家沟通起来非常轻松有问题也能及时解决！赞！,感觉 投影 游戏机 体验 很棒 商家 沟通 轻松 解决
这次出差住到了梦名宿，屋子很大，环境不错，也很干净，会推荐给朋友，价格也很友好,出差 名宿 屋子 很大 环境 不错 干净 推荐 朋友 价格 友好
跟照片一模一样！体验感超级好！房间真的很干净！！超级干净！,照片 体验 房间 干净 干净
房间设施齐全，服务很好，卫生很干净住着很舒适，交通便利,房间 设施 卫生 干净 舒适 交通 便利
环境特别好服务也很到位，空调也非常给劲空间也很大,环境 到位 空调 空间 很大
入住舒适 下次继续订这家,入住 舒适
床铺柔软舒适，推荐！,床铺 柔软 舒适 推荐
床垫太硬了～,床垫
复式民宿，空间很大，房间跟客厅都有暖气，单面采光，24小时热水很赞，出差来住宿，一层可临时办公，住两晚，管家第二天也有主动问需不需要打扫添置物资，很赞,复式 民宿 空间 很大 房间 客厅 暖气 单面 采光 小时 热水 出差 住宿 办公 管家 需不需要 打扫 添置 物资
床垫很硬，有的人不适应，卫生很好，每天有人打扫。景色的话，窗户还是太小了，哈哈,床垫 卫生 打扫 景色 窗户 太小
酒店地理位置好，离市中心五一广场大概十几分钟的步行距离，户型很满意，设施看着挺新的，配备了一次性用品,酒店 地理位置 市中心 步行 距离 户型 满意 设施 看着 配备 用品
非常漂亮的房间(上下2层)，干净整洁，闹中取静，特别感谢房东，友善，多次沟通都十分顺畅，长沙之行完美🌹🌹🌹,漂亮 房间 干净 整洁 房东 友善 沟通 顺畅 完美
挺好的，离地铁挺近的，周边很繁华 屋内干净，层高安静，先是定了一晚，第二天续住了～ 投影还有视频会员，天天看剧看到凌晨哈哈哈,地铁 繁华 干净 层高 续住 投影 视频 会员 看剧
整体比较不错，有什么问题会及时响应解决。,整体 不错 响应 解决
带孩子一家三口，公寓位置在芙蓉广场站附近，客服人员热情，交通便利，环境卫生安全，下次过来还会继续预定,孩子 公寓 位置 芙蓉 广场 客服 人员 热情 交通 便利 环境卫生 预定
真的特别满意，卫生很好，地理位置也很好，环境大赞！让拥挤的国庆长沙之旅极其舒适🌹,满意 卫生 地理位置 环境 拥挤 舒适
房间挺好的 很干净 位置也比较方便 就是鞋子不太防滑,房间 干净 位置 鞋子 防滑
房间很不错，很干净，位置很好，晚上楼下都是夜排挡，交通方便。,房间 不错 干净 位置 排挡 交通
服务好，细心推送，干净舒适，交通方便,细心 推送 干净 舒适 交通
性价比还是很高的，位置也很不错，步行十分钟左右可以到五一广场。卫生条件也不错，房间和照片是相符的，晚上也很安静。民宿小姐姐服务很好很贴心，有任何问题和需求都会很快的帮忙解决，总体是很满意的，如果再来长沙玩还是会订这里的。,性价比 很高 位置 不错 步行 卫生条件 不错 房间 照片 相符 民宿 贴心 需求 帮忙 解决 总体 满意 会订
很舒服，投影仪效果很好,舒服 投影仪 效果
这个价格可以订到这样的民宿还是挺不错的 还是比较好找的 距离市中心很近 环境还是挺不错的 可能隔音有一点点差 但是不影响  个人觉得床有一点点硬 不过还是希望能配个幕布吧 没有幕布画面看着还是有些模糊的 总体还是很满意的,价格 民宿 好找 距离 市中心 环境 隔音 希望 幕布 幕布 画面 看着 模糊 总体 满意
实际只有两张床与介绍不相符 押金退款不及时 电梯等待时间过长 最让人无语的是临走时我们一行人带两个行李箱排队等电梯等好久 结果打扫卫生的服务员推着推车不按秩序就挤进去了  一个推车直接占满电梯,两张床 介绍 相符 押金 退款 电梯 等待时间 过长 最让人 人带 行李箱 排队 电梯 服务员 推车 秩序 挤进去 推车 电梯
住房还是可以的，卫生搞的很干净，离五一广场也蛮近的，每天玩完都腿儿着回去哈哈哈，民宿客服小姐姐也很好，很热情，吹风机口坏了，立马表示要给我们换一个嘿嘿嘿，奈斯~,住房 卫生 干净 玩完 回去 民宿 客服 热情 吹风机
位置很方便，去景点都很近，有地铁出门也方便，卫生干净，空间也宽敞，住了几天还有洗衣机方便很多，值得推荐下次还会来,位置 景点 地铁 出门 卫生 干净 空间 宽敞 洗衣机 值得 推荐
整体都不错但是选择的这个户型不是自己喜欢的 看了店家其他房型都非常好看呢 下次来一定换一个房型呀😁,整体 不错 选择 户型 喜欢 店家 房型 好看 房型
不错的环境，挺大的，就是不太好找，而且装修比较新的感觉，屋内布局上有点空空的,不错 环境 挺大 不太好 装修 感觉 布局 空空
房间比较宽敞，适合家庭带娃出行，地理位置优越，遛街都比较方便。,房间 宽敞 适合 家庭 出行 地理位置 优越
地理位置不错，停车也方便，卫生满意，设施和价格匹配，有其他要求也会尽量应对满足,地理位置 不错 停车 卫生 满意 设施 价格 匹配 应对
图片还行，其他一般般，卫生间花洒还是坏的，只能说一分价钱一分货,图片 卫生间 只能 价钱 一分货
房间和图片一样 卫生也可以 和朋友一起出来玩可以选择这里,房间 图片 卫生 朋友 选择
可以 环境：还可以 服务：可以 设施：可以 卫生：：可以,环境 设施 卫生
服务：环境非常舒适，离景点也特别近，交通方便，下次还会再来,环境 舒适 景点 交通
给力给力给力 不是托不是托 真的很好 很有家的感觉,力给力 感觉
房间很不错，位置好，很方便，也很干净卫生，推荐推荐,房间 不错 位置 干净 卫生 推荐 推荐
房间很干净，出行便利，性价比高，下次来还住,房间 干净 出行 便利 性价比
非常非常满意 很有家的感觉 而且很划算,满意 感觉 划算
各方面条件还可以，卫生不够彻底,条件 卫生
挺好的，自助入住，离五一挺近,自助 入住
离市区近，出行方便，房间满足入住需求,市区 出行 房间 入住 需求
环境不错就是卫生间有点太小了,环境 不错 卫生间 太小
房间很干净也挺安静的，位置挺好找的,房间 干净 位置 好找
非常 很温馨的小屋,小屋
价格还好，可以住下很多人,价格 还好
很实惠，交通方便,交通
满意..值得推荐朋友,满意 值得 推荐 朋友
和朋友出来玩住很不错,朋友 玩住 不错
房间非常满意,房间 满意
很不错👍👍,不错
体验还不错,体验 不错
非常满意！,满意
很舒服很新,舒服
交通确实很方便，周围可以逛街的地方很多，甚至步行去湘江边都不远，美食也很多，小巷外面的主路边可以停车，晚上免费，白天最好停到旁边的停车场，便宜些，房间不大，但很舒适，以后要是再来长沙还会定这一家,交通 确实 逛街 地方 步行 美食 小巷 停车 停车场 便宜 房间 舒适
工作日房价便宜得不敢相信，价格实在！卫生也满意个别角落有小毛发，建议开大吸尘机功率，民宿为独栋旧楼改建，榻榻米房型白色墙为基本调色，明亮简洁，面积目测约3乘4米，如住两天以上还是建议住面积大的房型。卫生间由于受限面积稍微小，洗澡要注意小心转身，避免撞到。不足之处厕盘为蹲厕，对腿脚不利索或长者影响大。独栋民宿楼下大门是常开，有疑问咨询店家，店家反馈放心治安好，退房为免查房自助式体现店家与住客的默契与信任度！位置离地铁站步行约10-15分钟，住处临街很多特色餐饮和小酒馆。,工作日 房价 便宜 价格 实在 卫生 满意 角落 建议 吸尘机 功率 民宿 旧楼 改建 榻榻米 房型 白色 调色 明亮 简洁 面积 目测 建议 面积 房型 卫生间 受限 面积 洗澡 小心 转身 厕盘 腿脚 利索 长者 民宿 大门 疑问 店家 店家 反馈 放心 退房 查房 体现 店家 住客 信任度 位置 地铁站 步行 住处 特色 餐饮 小酒馆
很不错的一家民宿，距离坡子街那边也不远，楼下有小酒吧，吃饭的店，很方便，而且还有一只猫咪🐈白白胖胖的！好可爱！民宿还有洗衣机和烘干机，值得一住！,不错 民宿 距离 坡子 酒吧 吃饭 猫咪 可爱 民宿 洗衣机 烘干机 值得
环境很好，很干净，安静 房间也很干净，舒适 外面的巷子适合晚上逛吃 民宿老板也很亲切贴心 来长沙玩的很开心，下次还来,环境 干净 房间 干净 舒适 巷子 适合 民宿 老板 亲切 贴心 开心
卫生：干净整洁 设施：智能家居 服务：老板人特别热情，有问题咨询立马处理。总体来说体验感受很好,卫生 干净 整洁 设施 老板 热情 总体 体验 感受
想夸夸酒店的老板，他真的非常好。尽管我们因为个人原因很晚才到达，但他依然花时间帮助我们办理入住，态度很好很温柔，而且这家酒店的氛围和环境也很好，房间干净，设施也很齐全。浴室设施和其他配套设施都显示出酒店的用心和投入，让人感到非常舒适和放心。装修比较简约，是很标准的酒店哈哈,夸夸 酒店 老板 原因 到达 时间 办理 入住 态度 温柔 酒店 氛围 环境 房间 干净 设施 浴室 设施 配套 设施 显示 酒店 用心 投入 感到 舒适 放心 装修 标准 酒店
房间设施都很新，有语音控制很方便。前台小姐姐非常热情，给我们免费升了房。酒店出行很方便，10分钟不到就到地铁，附近有很多音乐酒吧也很好玩。下次来长沙还住这儿！,房间 设施 语音 控制 前台 热情 酒店 出行 不到 地铁 音乐 酒吧 好玩
真的坑！极差，一开始我们过去上楼的时候发现楼梯特别窄。这都不说啥，床上掀开被子有好多毛发。然后叫那个老板过来换床单，换完床单，我们发现那个洗漱台那个是堵的。然后我又打电话叫他处理那个洗漱台。他这时已经脸上有点挂不住了。然后还一直问我们明天要不要续房，说给我们优惠。都这种了！他还好意思啊~续房！然后墙面特别脏！我住的时候还是300多！妈的！真的死坑死坑。原本还有照片的，后来我手机掉了没了,极差 发现 楼梯 床上 掀开 被子 老板 床单 床单 发现 洗漱 洗漱 挂不住 续房 续房 墙面 原本 照片 手机 没了
体验感很好!榻榻米房间很温馨~前台小姐姐也特别好，特别耐心，是服务特别好的一家店，下次来长沙首选这家🌻出门逛街也很方便,体验 榻榻米 房间 前台 耐心 首选 出门 逛街
不错，很喜欢，主要是和我的期待相符合,不错 喜欢 期待
真的很不错，住的很舒服！房东人也很好哦,不错 舒服 房东
入住体验很好，前台小姐姐服务很周到,入住 体验 前台 周到
楼梯有点陡，其他还行吧,楼梯 还行
今年去了两次空空客厅了，第一次知道他们家是看到白敬亭，孟子义去打卡了！！！强烈建议小姐姐们去那里打卡啊，外面有一个环形楼梯，很出片～～～然后他们家有很多不同的房型，各有特色，我住的是一个带浴缸的房间，我觉得很舒服耶，冬天看看电影，泡泡澡，真的是相当巴适了！！！,空空 客厅 打卡 打卡 环形 楼梯 房型 浴缸 房间 舒服 电影 泡澡
每月都来长沙出差，第一次住这种网红酒店，看到评分高才办的入住。说实话惊喜不断: 除了快捷的入住方式，最打动人心的还是她们的服务细节: 前台很热心的带我去房间，介绍所有的服务，早餐推荐去吃，密码，免费咖啡奶茶等。。 入住后发现房间是欧式简约风格，很温馨，卫生间是加热马桶，灯光设置很人性化，房间很安静，一觉睡到天亮。 真的是太赞了。下个月出差还会来,出差 网红 酒店 评分 入住 惊喜 快捷 入住 方式 打动 人心 细节 前台 热心 带我去 房间 介绍 早餐 推荐 密码 咖啡 奶茶 入住 发现 房间 欧式 风格 卫生间 加热 马桶 灯光 人性化 房间 睡到 出差
环境和服务特别好！管家小哥哥特别热情～ 拍照出片，床单和房屋都非常干净，晚上小巷子很安静，适合休息，楼下是咖啡厅，可以和朋友们喝喝茶拍拍照^ ^,环境 管家 热情 拍照 出片 床单 房屋 干净 适合 休息 咖啡厅 朋友 喝茶 拍拍
空空客厅藏身于潮宗街的一条很有氛围感的小巷子里，纯白色的外观设计让人感觉内心舒心宁静，客服小哥哥服务热心周到，体验感很不错，有到长沙旅游的朋友们推荐都来感受一下空空客厅的独特魅力。,空空 客厅 藏身 氛围 纯白色 外观设计 感觉 内心 舒心 客服 热心 周到 体验 不错 朋友 推荐 空空 客厅 独特 魅力
位置很好找 而且就在潮宗街里面 逛起来不要太方便～去长沙市中心的任何景点走路就可以！ 民宿设计感超好 前台小哥哥帮忙拿行李 每天定时询问整理和清洁 环境超级容易出大片,位置 好找 宗街 逛起来 中心 景点 走路 民宿 超好 前台 帮忙 行李 询问 整理 清洁 环境 大片
干净整洁，风格简单舒适，小红书看到很多明星来拍过照，是网红民宿了。关键是性价比很高了。太喜欢院子里的那颗树了，落地窗看向外面视觉效果拉满。,干净 整洁 风格 简单 舒适 民宿 关键 性价比 喜欢 院子 落地窗 视觉效果
住的很舒服，环境非常优美！下次去长沙一定还会再去！,舒服 环境 优美
太喜欢雯雯家这个空空客厅民宿，我的朋友们，来长沙强烈推荐住这里，位置在五一广场潮宗古街。,喜欢 空空 客厅 民宿 朋友 位置
还是一如既往的好出片，店里已经挂上了圣诞装饰,店里 挂上 装饰
非常不错的入住体验哦，图片跟房间一致，布置非常精美，绝绝子,不错 入住 体验 图片 房间 布置 精美
很满意，位置也是非常方便，拍照很出片，爱了爱了，下次还来,满意 位置 拍照
位置好，吃喝方便的老巷中。 简约的风格，干净，整洁。,位置 吃喝 老巷 风格 干净 整洁
房间整洁，布局很不错,房间 整洁 布局 不错
雯雯的表弟每天都会微信询问是否整理房间，口气倒像是朋友，不像民宿主人。来空空也是慕名而来，白色的房子本身就让人赏心悦目，内部布置也好看，周围交通便利，旁边就是潮宗街和五一广场。办理入住，离店也很方便。,表弟 询问 整理 房间 口气 倒像 朋友 民宿 主人 空空 白色 房子 就让 布置 好看 交通 便利 办理 入住 离店
老板主动帮我们免费升级了套房，房间内无论纸品，卫浴都是用的大品牌，非常棒，住着舒心！空气很好！下次去长沙会再来。,老板 套房 房间内 纸品 是用 品牌 舒心 空气
民宿整体风格一眼爱上，每个房间都很漂亮。周边有很多有意思的小店及布置，属于网红打卡点；离民宿不远就是“培元桥”站，出行很方便；民宿属闹中取静，晚上超级安静，可以很好的休息入睡。“雯雯的可爱表弟”全程微笑服务，态度超级好，入住前电话沟通，给发了线路图，到店帮忙提行李…,民宿 整体 风格 房间 很漂亮 小店 布置 网红 打卡 民宿 培元 出行 民宿 很好 休息 入睡 可爱 表弟 全程 态度 入住 电话 沟通 给发 线路图 帮忙 行李
入住体验非常棒！管家也挺贴心，卫生也很到位,入住 体验 管家 贴心 卫生 到位
在潮宗古街里的一间民宿 环境不错 出行也方便,潮宗 民宿 环境 不错 出行
总体还是挺好的，潮宗街认真逛都能断腿,总体 断腿
很舒服的民宿有点世外桃源的感觉,舒服 民宿 世外桃源 感觉
环境很好，有意境,环境 意境
环境：独栋纯白简约的民宿，还带个花园，真的很舒服呀设计感很强，怎么拍都像杂志大片也太好看了服务：楼下就是咖啡店 可以送到房间；24小时管家服务，会主动推荐周边游玩攻略、餐厅，很贴心，都不用带脑子来旅行设施：房间里的桌椅特别够！！还带有化妆镜，真的很贴心很适合居住啊啊啊！！连衣架都是管够的，特别喜欢这家店的配套产品卫生：很干净，到处都香香的太喜欢啦周边就是 街，就在五一广场附近，去哪都很方便淡季过来舒适度拉满了,环境 纯白 民宿 花园 舒服 杂志 大片 好看 咖啡店 送到 房间 小时 管家 推荐 游玩 攻略 餐厅 贴心 不用 脑子 设施 房间 桌椅 带有 化妆镜 贴心 适合 居住 衣架 管够 喜欢 配套 产品 卫生 干净 喜欢 淡季 舒适度 拉满
订的时候看平台上放的房型图片就很期待到了之后开门就哇哇哇哇声不断(是有点没有见过世面的样子哈哈哈)真的觉得两张一米八的大床(而且分别在单独房间)十麻将桌十大沙发十投影这个价格性价比真的超高了! !而且卫生间还有准备卸妆水、洗面奶和棉签，真的很贴心哈哈哈哈还有一把梳子大木梳子朋友爱到差点控制不住要顺走。,平台 上放 房型 图片 期待 开门 样子 大床 房间 麻将桌 投影 价格 性价比 超高 卫生间 棉签 贴心 梳子 大木 梳子 朋友 差点 控制 不住
大晚上临时帮家人订的酒店，因为也有老人，生怕没有选好。没想到大家都非常满意，老人家自己也能根据小姐姐的图找到地址。交通非常的方便，环境卫生都非常好，完全超出这个价位的预期！特别感谢小姐姐免费给我们升级了房型，三个房间三张床，私密性也很好，让大家睡得更舒服！绝对不是托哈～推荐,家人 酒店 老人 生怕 满意 老人家 找到 地址 交通 环境卫生 超出 价位 房型 房间 私密性 舒服 推荐
