评论内容,fenci
房间的地台很舒服，中间还有软垫，可以当一张床，地台上有懒人沙发，躺在上面看书，最重要的是可以到湘江和橘子洲，在这里发呆都很享受,房间 地台 舒服 软垫 懒人 看书 发呆 享受
酒店附近就是汇景，位置很好，附近停车也是很方便。房间挺大的，设施齐全，吹风筒这些小家电也是很实用，整体很满意,酒店 汇景 位置 停车 房间 挺大 设施 吹风 小家电 实用 整体 满意
很不错的一个酒店，装修布置非常细节，拍照很好看，房间的小家电也比较实用，风筒吹得舒服，热水也很快就有，挺满意的,不错 酒店 装修 布置 细节 拍照 好看 房间 小家电 实用 风筒 舒服 热水 满意
小程序办理入住，退房也是在小程序里操作就可以了。对社恐人士特别友好，也非常便捷，重点是服务也不错，有什么需要，管家都尽量满足,程序 办理 入住 退房 程序 操作 社恐 人士 友好 便捷 重点 不错 管家
环境不错，位置也合适，屋内设施都很新，干净卫生，服务态度好，卫生清理及时，有任何问题都及时反馈，下次再来！,环境 不错 位置 合适 设施 干净 卫生 服务态度 卫生 清理 反馈
到长沙找朋友玩住的这个酒店很不错，房间空间挺大的，一次性用品质量很好，卫生整洁干净，住得很舒服,朋友 玩住 酒店 不错 房间 空间 挺大 用品 质量 卫生 整洁 干净 舒服
和几个朋友一起聚会，晚上住在这个酒店，整体装修很好，停车方便，毛巾床单这些质量都很好，卫生干净,朋友 聚会 酒店 整体 装修 停车 床单 质量 卫生 干净
房间装修风格简约时尚，很干净，周边有夜市还有各种美食餐厅，设施准备的很贴心，宠物友好特别满意,房间 装修 风格 时尚 干净 夜市 美食 餐厅 设施 贴心 宠物 友好 满意
五一广场人很多很热闹，美食选择很多，价格也不算贵，公寓的位置很好，很方便，房间挺干净的，整体很满意,热闹 美食 选择 价格 不算 公寓 位置 房间 干净 整体 满意
房间很宽敞 干净 窗户直接可以看到江景 跨年夜去的还送了份伴手礼 非常满意 推荐大家去,房间 宽敞 干净 窗户 江景 份伴 手礼 满意 推荐
很不错的一次体验，房间布局很用心，温馨舒适，空间也够宽敞，设施很齐，卫生做的很到位，给个好评,不错 体验 房间 布局 用心 舒适 空间 宽敞 设施 卫生 到位 好评
环境很不错，交通出行很方便，房间空间很宽敞隔音效果很好，卫生很干净整洁，整体住的很满意,环境 不错 交通 出行 房间 空间 宽敞 隔音 效果 卫生 干净 整洁 整体 满意
这家酒店确实很棒！住过好几次都满意，房间也非常干净酒店员工也很友好，我度过了一段愉快的时光！￼,酒店 确实 很棒 满意 房间 干净 酒店 员工 友好 度过 愉快 时光
酒店周边环境挺好的，附近吃饭啥的都方便，房间空间挺大的，装修布置很用心，温馨的风格很喜欢,酒店 吃饭 房间 空间 挺大 装修 布置 用心 风格 喜欢
这里环境很好，房间装修布置非常用心，给人很温馨的感觉，窗景更是一流，床垫也很软，体验感非常满意,环境 房间 装修 布置 用心 感觉 窗景 一流 床垫 很软 体验 满意
酒店店员服务热情及时，环境很好，安静舒适宽敞明亮，卫生做的很细致，设施很完善，下次还来,酒店 店员 热情 环境 舒适 卫生 细致 设施 完善
民宿的大楼环境没得说，像五星酒店大堂大堂的前台姐姐24小时都在。会帮我刷电梯卡，感觉很不错￼,民宿 大楼 环境 酒店 大堂 大堂 前台 姐姐 小时 电梯 感觉 不错
公寓位置很好，酒店周边环境很好，房间的空间挺大的，设施齐全，很适合朋友聚会，玩得很开心,公寓 位置 酒店 房间 空间 挺大 设施 适合 朋友 聚会 开心
服务：很热情周到及时 环境：温馨舒适宽敞 卫生：整洁干净无异味 设施：完善齐全够用 整体都满意,环境 舒适 宽敞 卫生 整洁 干净 异味 设施 完善 够用 整体 满意
房间干净整洁舒适，布置宽大而温馨，设备都很齐全。住房感觉很安静舒服。客服人也很好耐心解答各种问题。值得信赖,房间 干净 整洁 舒适 布置 宽大 住房 感觉 舒服 客服 耐心 解答 值得 信赖
酒店房间挺大的，装修很好， 牙刷牙膏这些包装都很好，质量都不错，隔音效果很好，很满意,酒店 房间 挺大 装修 牙膏 包装 质量 不错 隔音 效果 满意
附近最好性价比的一家酒店，吃喝玩乐很多地方都有，店长进出都问好，服务真热情，真的是太棒了！,性价比 酒店 地方 店长 进出 问好 热情
酒店的景色超级美啊！房间的装修和布局也很赞！卫生也做的很到位，下次有机会我还会入住的。,酒店 景色 房间 装修 布局 卫生 到位 机会 入住
体验很好的一家酒店，店员都很热情有求必应，房间布置很温馨别致，环境很安逸悠闲，住的相当惬意,体验 很好 酒店 店员 热情 房间 布置 别致 环境 惬意
和朋友一起在五一广场附近吃完饭，就住了这家酒店，房间布置很喜欢，而且卫生做得很好，很满意,朋友 酒店 房间 布置 喜欢 卫生 满意
体验很好的一次入住，管家服务热情友好，房间布置别致优雅，热水很大，床铺柔软，非常舒服,体验 很好 入住 管家 热情 友好 房间 布置 别致 优雅 热水 很大 床铺 柔软 舒服
酒店的房间配置很好，一次性物品很齐全，还有小家电热水壶 都很干净的！可以放心使用。,酒店 房间 配置 物品 小家 电热水壶 干净
公寓房间挺大的，装修风格很喜欢，床垫很软，睡得很舒服。公寓位置很好，周边环境很好,公寓 房间 挺大 装修 风格 喜欢 床垫 很软 舒服 公寓 位置
第二次入住了，住着舒服，安静便捷，中央空调太热，只用穿一件衣服。卫生间很大很漂亮。,入住 舒服 便捷 中央空调 只用 衣服 卫生间 很大 很漂亮
酒店的环境非常整洁，布局也堪称完美，优雅不失情调的那种！设施也很完善 住的很舒心,酒店 环境 整洁 布局 堪称 完美 优雅 不失 情调 设施 完善 舒心
这家酒店的装潢非常的现代和时尚！特别好看我很喜欢，房间的设施使用也很便捷智能,酒店 装潢 时尚 好看 喜欢 房间 设施 便捷 智能
酒店很棒附近环境好好看！城市的繁华超好看！房间的装修也很有感觉！超级不错👍很推荐,酒店 很棒 环境 好好看 繁华 好看 房间 装修 感觉 不错 推荐
酒店住的很不错很满意！设施也很完善，房间的装修我也很喜欢！超级不错的一家酒店,酒店 不错 满意 设施 完善 房间 装修 喜欢 不错 酒店
酒店附近就是五一广场！很热闹也很有购物场所和美食店！这次体验很棒！还是很推荐的！,酒店 热闹 购物 场所 美食 体验 很棒 推荐
和朋友一起到五一广场聚餐，完了一起住这里，晚上一起玩玩桌游，房间空间挺大的，设施齐全,朋友 聚餐 玩玩 桌游 房间 空间 挺大 设施
酒店附近有一个五一广场！昨天周末人超级多，都来过平安夜了哈哈哈 还是很好玩的,酒店 好玩
位置很方便出游，房间挺满意，装修都很新，洗漱用品质量都很好，住的很安心，推荐,位置 房间 满意 装修 洗漱 用品 质量 安心 推荐
酒店的居住体验很棒！房间的设施也很完善，使用起来超便捷，卫生也很干净 我超喜欢,酒店 居住 体验 很棒 房间 设施 完善 便捷 卫生 干净 喜欢
房型不错，可以看到江景。有个榻榻米，躺着嘎嘎香。而且还有投影仪。在里面喝着小酒看茶啊二中挺开心的,房型 不错 江景 榻榻米 投影仪 开心
推荐这家，很适合出游入住，快捷方便，服务贴心，房间环境很好，干净舒适，体验很好,推荐 适合 入住 快捷 贴心 房间 环境 干净 舒适 体验
公寓位置挺好的，附近吃饭逛街都很方便，房间的配置设施齐全，很温馨，下次来旅游还住这里,公寓 位置 吃饭 逛街 房间 配置 设施
酒店装修挺好的，房间一次性的用品比较齐全，包装质量很好，热水热得也快，很满意,酒店 装修 房间 用品 包装 质量 热水 满意
这家酒店的房间设施很齐全的，也很完善，看起来也很新，这次居住体验我很满意 给个赞,酒店 房间 设施 完善 居住 体验 满意
地理位置非常好，周围的环境非常优美宁静，房间卫生非常干净整洁，床铺非常舒适,地理位置 环境 优美 房间 卫生 干净 整洁 床铺 舒适
酒店景色超棒！房间的布局也很好，附近还有超多的景点游玩，一天下来没有闲的时间😂,酒店 景色 超棒 房间 布局 超多 景点 游玩 时间
这个酒店的设施很齐全，房间的布局也很不错！装修也很有品味，超级不错的一家酒店。,酒店 设施 房间 布局 不错 装修 品味 不错 酒店
酒店装修很好看！我很喜欢这里的房间设施～使用方便看着也很干净！我要给一个赞,酒店 装修 好看 喜欢 房间 设施 看着 干净
酒店住起来很舒服，房间的设施也很齐全 装修也很棒，总体体验很不错的一家酒店啊,酒店 舒服 房间 设施 装修 很棒 总体 体验 不错 酒店
这家公寓真的太棒了，服务很热情，客房很舒适卫生很干净整洁，一次愉快的住宿体验,公寓 热情 客房 舒适 卫生 干净 整洁 愉快 住宿 体验
酒店住起来超级赞！景色也很好看，附近太热闹了，马上就是平安夜，大家都很开心,酒店 景色 好看 热闹 开心
这家酒店的房间很宽敞！卫生间我也比较注重细节，超级干净呢那种，很不错很推荐。,酒店 房间 宽敞 卫生间 注重 细节 干净 不错 推荐
房间很漂亮，房间内的小度语音很好用，非常方便，小管家也非常热心的为我服务，体验感很棒,房间 很漂亮 房间内 小度 语音 管家 体验 很棒
位置很方便出游，周边景点很多，房间宽敞明亮卫生，布置很好看，住的很安逸,位置 景点 房间 卫生 布置 好看
交通出行很方便，房间装修设计很有创意，卫生很干净整洁，床很柔软睡的很舒服,交通 出行 房间 装修 创意 卫生 干净 整洁 柔软 舒服
和朋友一起住的这家酒店很不错，面积挺大的，装修布置都很好，卫生干净，很满意,朋友 酒店 不错 面积 挺大 装修 布置 卫生 干净 满意
酒店附近有一个五一广场呀 前几天超级热闹！装修也很喜欢，地理位置超级赞,酒店 热闹 装修 喜欢 地理位置
这家酒店位置挺好出门很便利，办理入住退房都方便快捷，房间装饰别致温馨，推荐,酒店 位置 出门 便利 办理 入住 退房 房间 装饰 别致 推荐
位置好找，房间布置很别致，非常干净简洁，采光很好，设施非常齐全，体验不错,位置 好找 房间 布置 别致 干净 简洁 采光 设施 体验 不错
酒店位置很好，出游很方便，房间也很舒适，干净清爽，宽敞明亮整洁，推荐这家,酒店 位置 房间 舒适 干净 清爽 整洁 推荐
酒店的设施超级棒呢，使用起来很方便，床单也很洁白舒服，整体可以给个好评！,酒店 设施 床单 舒服 整体 好评
房间装修布置非常用心，床垫很软，枕头被子的质量挺好的，晚上睡得很舒服,房间 装修 布置 用心 床垫 很软 枕头 被子 质量 舒服
周边都很繁华热闹，酒店房间挺安静的，设施够用，宽敞明亮，卫生做的很细致，好评,繁华 热闹 酒店 房间 设施 够用 卫生 细致 好评
酒店房间装修挺好的，布置风格很喜欢，牙刷牙膏毛巾这些用品质量都挺好的,酒店 房间 装修 布置 风格 喜欢 牙膏 用品 质量 挺好
酒店位置便利，很适合出游，房间也够宽敞，东西都很新，卫生干净整洁，推荐,酒店 位置 便利 适合 房间 宽敞 卫生 干净 整洁 推荐
这家酒店景色超棒！视野超宽阔！卫生也做得很棒，角角落落都很干净 非常推荐。,酒店 景色 超棒 视野 宽阔 卫生 很棒 角角落落 干净 推荐
房间很宽敞，天气好的时候还能看到江景～还送了个长沙酱板鸭特产哈哈哈,房间 宽敞 天气 江景 板鸭 特产
房间装修布置很不错，周边环境挺好的，床垫枕头的质量很好，睡得很舒服,房间 装修 布置 不错 床垫 枕头 质量 舒服
位置很好，出门交通便利，房间设施很齐全，洗漱用品都很干净整洁，住的非常安心,位置 出门 交通 便利 房间 设施 洗漱 用品 干净 整洁 安心
酒店房间很喜欢，很大特别干净，床铺枕头被子都很柔软舒适，休息得很好,酒店 房间 喜欢 很大 干净 床铺 枕头 被子 柔软 舒适 休息
位置很方便好找，设施齐全好用，房间布局很温馨别致，卫生做的很到位，好评哦,位置 好找 设施 房间 布局 别致 卫生 到位 好评
交通很方便，房间配套设施很齐全，卫生做的很细致，床铺很柔软住的很舒服,交通 房间 配套 设施 卫生 细致 床铺 柔软 舒服
这家酒店房间打扫的很干净！我们出门看见保洁阿姨打扫都会带好帽子穿着保洁服,酒店 房间 打扫 干净 出门 保洁 打扫 帽子 穿着 保洁
公寓的主题很棒！很照顾带宝宝的家庭，设施也很齐全房间也很宽敞 非常不错。,公寓 主题 很棒 照顾 家庭 设施 房间 宽敞 不错
很不错的一个酒店，设施齐全，房间面积够大，几个朋友一起小聚玩得开心,不错 酒店 设施 房间 面积 朋友 开心
酒店位置很好，房间也很喜欢，卫生整洁，设施方便，装修还很新，满意,酒店 位置 房间 喜欢 卫生 整洁 设施 装修 满意
这家还是很不错的，位置很便利，服务及时，卫生做得很到位，满意的体验,不错 位置 便利 卫生 到位 满意 体验
酒店品质很棒！装修风格超好看的那种！房间也干净整洁，服务人员也很热情,酒店 品质 很棒 装修 风格 好看 房间 干净 整洁 人员 热情
酒店的设施很棒！房间也很宽敞 采光我看了很棒的，窗帘遮光性也很厉害。,酒店 设施 很棒 房间 宽敞 采光 很棒 窗帘 遮光 厉害
和朋友小聚住了这家酒店，房间面积挺大的，整体布置也好看，比较满意,朋友 聚住 酒店 房间 面积 挺大 整体 布置 好看
酒店装修很好，房间布置很好，风格很喜欢，前台接待非常热情，很满意,酒店 装修 房间 布置 风格 喜欢 前台 接待 热情 满意
酒店管家服务很到位，有求必应效率高，房间风景不错，风格也很喜欢,酒店 管家 到位 效率高 房间 风景 不错 风格 喜欢
酒店设计不错！那个地台布置了户外桌椅和天幕，追剧看城景，挺惬意😂,酒店设计 不错 地台 布置 桌椅 天幕 追剧 城景 惬意
入住体验很不错，房间挺满意的了，设施装修都是我喜欢的，给个好评,入住 体验 不错 房间 满意 设施 装修 喜欢 好评
酒店管家服务及时热情，房间设施布置很人性化，非常舒适方便，体验很好,酒店 管家 热情 房间 设施 布置 人性化 舒适 体验
老板特别好！！！！！耐心又细心，环境舒适！！！！！性价比高,老板 耐心 细心 环境 舒适 性价比
房间很干净，房间内设施齐全，房主人很好，有求必应，下次出差还来她家,房间 干净 房间内 设施 主人 出差
位置很方便 设施：好 卫生：好 环境：好 服务：好,位置 设施 卫生 环境
装修挺漂亮的，卫生环境各方面都很棒，位置也很方便,装修 漂亮 卫生 环境 很棒 位置
地点赞，景色美，屋主人好好，欢迎大家入住,地点 景色 主人 入住
位置很好，靠近江边，房间很大，装饰大气，干净整洁。,位置 靠近 房间 很大 装饰 大气 干净 整洁
服务热情周到！干净卫生，周围环境好！,干净 卫生
很大的落地窗，采光很好，下次会再来。,很大 落地窗 采光
房间好，服务好，不错，值得值荐。,房间 不错 值得 值荐
住过好几次了，他们家装修环境超级有氛围,装修 环境 氛围
很好，很干净，设施齐全，风景好。,干净 设施 风景
非常满意的一次住宿体验，值得推荐！,满意 住宿 体验 值得 推荐
房间很好！可以看到湘江！,房间
卫生好，房间大，有特色,卫生 房间 特色
环境设施都挺好的,环境 设施 挺好
还不错 挺干净的,不错 干净
店家照顾很周到！,店家 照顾 周到
交通便捷，出行方便，公司就在楼上，上上下下不绕弯，挺好的一家民宿，几个一同出差的来过我房间看后觉得以后他们也可以住这里，晚上出门打个车起步费范围里面网红店、夜市，解放西，坡子街等，3-5分钟就到达,交通 便捷 出行 公司 绕弯 民宿 出差 房间 出门 网红店 夜市 解放 坡子 到达
非常好的入住体验，房间干净整洁，风格简约时尚，也很透亮，能看到海景，隔音效果好，听不太到隔壁的声音，小朋友很喜欢小度，趣味强，投影也很清晰，都有会员可以播放想看的动画片，有机会来还定这里,入住 体验 房间 干净 整洁 风格 时尚 透亮 海景 隔音 效果 声音 小朋友 喜欢 小度 趣味 投影 清晰 会员 播放 想看 动画片 机会 还定
连续入住了两晚大床房很舒服 视野宽阔极好的江景房 房间的配套设施真的都很新很齐全  外出出行的很好  位置很好 马路对面就是冬瓜山夜市 下次还会选择的性价比高。客服服务态度棒，非常有耐心及时解决客户入住问题,连续 入住 床房 舒服 视野 宽阔 江景 房间 配套 设施 外出 出行 很好 位置 马路 对面 冬瓜 夜市 选择 性价比 客服 服务态度 耐心 解决 客户 入住
位置极佳，一线江景名不虚传，出行方便，环境很好，很有民宿意境，房间卫生很干净，服务特别好，很满意，下次还来,位置 极佳 江景 出行 环境 民宿 意境 房间 卫生 干净 满意
位置很好，可以看到夜景。对面有一条小吃街。酒店离五一广场，岳麓山书院，还有橘子洲，杜甫江阁比较近，小电驴就到了，非常方便。 房间内设计是现代简约风，设施齐全，干净没有异味。房东非常好，很有耐心，有问必答,位置 夜景 对面 小吃街 酒店 书院 电驴 房间内 设施 干净 异味 房东 耐心
环境非常好，住房体验很好，地理环境优越，服务态度很好，是一次很不错的入住体验！下次有机会还来。,环境 住房 体验 地理环境 优越 服务态度 不错 入住 体验 机会
出差住很舒服，房间中央空调暖气很足，只穿睡衣就行了，楼底下星巴克麦当劳也很方便，推荐,出差 舒服 房间 中央空调 暖气 很足 睡衣 推荐
酒店地理位置很好，就在江边，离坡子街和海信广场也不远，很方便。 房间很舒适干净，而且房东有求必应，沟通顺畅。 最关键的还是宠物友好酒店，让带狗狗出来旅游的我们住得特别舒服！,酒店 地理位置 子街 广场 房间 舒适 干净 房东 沟通 顺畅 关键 宠物 友好 酒店 狗狗 舒服
前台推荐的这个房间，住的舒服，暖气很足，冮景视野也很好，入住方便，安全系数高,前台 推荐 房间 舒服 暖气 很足 视野 入住
酒店位置便捷，环境舒适，前靠湖南银行总部大厦，往后毗邻伟人母校第一师范，也是长沙欣赏烟花的好位置、眺望岳麓山、橘子洲头的好位置！,酒店 位置 便捷 环境 舒适 银行 总部 大厦 毗邻 伟人 母校 欣赏 烟花 位置 眺望 位置
近期来都选择住在了这里，有问题，老板都会快速解决。视野很好，去哪里也都挺近的。,选择 老板 解决 视野
朋友推荐来的名宿，名宿客服服务热情，房间也很不错，能看到江景，下次来还会选择,朋友 推荐 名宿 名宿 客服 热情 房间 不错 江景 选择
设施：完善，有冰箱投影仪，有沙发，办公桌，空气净化器卫生：干净舒适，有家的温馨环境：周遭冬瓜山就在附近，二次入住，首选酒店服务：管家服务到位，24小时有人管理，很放心、贴心河边的风景还是挺美的！,设施 完善 冰箱 投影仪 办公桌 空气 净化器 卫生 干净 舒适 环境 冬瓜 入住 首选 酒店 管家 服务到位 小时 放心 贴心 风景
这是一家不错的民宿酒店，一线江景位置，五一商圈，岳麓山，橘子洲出行都很方便，值得收藏。,不错 民宿 酒店 江景 位置 商圈 出行 值得 收藏
房间卫生很干净，很温馨，有种家的感觉，前台服务热心周到很耐烦，就在湘江边上，一览无遗的江景令人心旷神怡。,房间 卫生 干净 感觉 前台 热心 周到 耐烦 江景
房间很不错，空调给力，窗外风景也很好看,房间 不错 空调 风景 好看
这个酒店太舒服了，非常好，环境一流，下次还来,酒店 舒服 环境 一流
房间卫生干净，交通出行方便，服务认真热心，性价比高，值得一住,房间 卫生 干净 交通 出行 热心 性价比 值得
房间很好，老板人也很好，下次继续住这里,房间 老板
入住体验非常好，老板热情好客，位置也好，去哪里都方便，房间干净卫生，下次还来,入住 体验 老板 位置 房间 干净 卫生
设施：配置齐全 卫生：干净卫生无异味 环境：临近江边，夜景很美,设施 配置 卫生 干净 卫生 异味 环境 临近 夜景
房间舒适、干净、宽敞，客服人很好，推荐入住。,房间 舒适 干净 宽敞 客服 推荐 入住
位置很好，空间很大，五一商圈很近，,位置 空间 很大 商圈
跟预想中的一样，推荐,预想 推荐
非常满意，强烈推荐,满意
房间干净舒服，服务也很好，很不错的一次体验。,房间 干净 舒服 不错 体验
房间很干净 设施也很齐全很新 特别棒 推荐,房间 干净 设施 推荐
干净卫生，方便省事，被子很舒服,干净 卫生 省事 被子 舒服
环境不错 干净卫生,环境 不错 干净 卫生
入住结束第一次认真点评。首先是入住预订，老板非常有耐心，跟我讲位置、风景、房型，还给我看多个照片。入住也很热情，住在老长沙的网红板块，楼下啥都有。出门也很方便，往北走150米左右就是地铁。总之是次愉快的体验。,入住 结束 点评 入住 预订 老板 耐心 位置 风景 房型 还给 照片 入住 热情 网红 板块 出门 地铁 愉快 体验
环境非常好，卫生干净,环境 卫生 干净
房间特别干净，还有智能小管家，科技感很强，小管家也很有耐心，位置很好，离坡子街等小吃街很近，骑电车十分钟左右，很推荐～,房间 干净 智能 管家 科技 管家 耐心 位置 子街 小吃街 电车 推荐
房间很大有家的感觉，厕所干湿分离很，冰箱还有饮料免费喝。前台服务员的服务也是非常迅速有缺什么直接说马上就回复并且把东西带过来了，整体来讲非常好，非常满意，可以给十分！,房间 很大 感觉 厕所 干湿 分离 冰箱 饮料 前台 服务员 回复 整体 满意
房间很干净很舒服,房间 干净 舒服
五一广场附近，交通很方便。酒店房间湘江的江景一览无余，晚上还能看到绝美的夜景和美丽的杜甫江阁。同时酒店的设施也非常全面，滚筒洗衣机、空气净化器、中央空调、冰箱等等，非常方便，房间卫生也很干净，很推荐大家预定！！,交通 酒店 房间 江景 夜景 酒店 设施 滚筒 洗衣机 空气 净化器 中央空调 冰箱 房间 卫生 干净 推荐 预定
设施：非常齐全，卫生间干湿分离，甚至还有洗衣机，而且家具都非常新 卫生：说实话很惊艳，很干净，无异味 环境：交通非常方便，旁边走路就能到冬瓜山，楼下就是天宝兄弟，吃完就能回家休息 服务：房主非常热情，回复速度超快 性价比非常高的民宿，下次还来。,设施 卫生间 干湿 分离 洗衣机 家具 卫生 惊艳 干净 异味 环境 交通 走路 冬瓜 兄弟 回家 休息 房主 热情 回复 速度 超快 性价比 民宿
房间好温馨！色调搭配的恰到好处！卫生搞的确实是干净，有五星级酒店的感觉！入住也非常方便，晚上的长沙夜景一览无余！非常值得的一次住宿！下次有机会还会选择住这里！,房间 色调 搭配 卫生 确实 干净 酒店 感觉 入住 夜景 值得 住宿 机会 选择
房间很大有家的感觉，厕所干湿分离很，冰箱还有饮料免费喝。房东的服务也是非常迅速有缺什么直接说马上就回复并且把东西带过来了，整体来讲就是很，家的感觉酒店的服务,房间 很大 感觉 厕所 干湿 分离 冰箱 饮料 房东 回复 整体 感觉 酒店
房酒店靠近江边，视野开阔，风景美丽，出行方便。室内装饰漂亮，设施齐全，卫生很好。酒店服务温馨，还可免费停车，选择这家酒店是您不错的选择。可以打满分。,酒店 靠近 视野 开阔 风景 出行 室内装饰 漂亮 设施 卫生 酒店 停车 选择 酒店 不错 选择
房间宽敞，江景尽收眼底，下楼不远就可步行到江边。大厦三楼就是天宝兄弟，马路对面就是冬瓜山美食街，很方便。特別贊一下帅哥老板，服务热情周到！,房间 宽敞 江景 下楼 步行 大厦 兄弟 马路 对面 冬瓜 老板
环境挺好的，江景感觉很不错，房间很大。卫生也很干净，老板服务很好，唯一的不足就是外卖不能送上来，只能自己下去取。设施都很齐全，位置也很好找,环境 江景 感觉 不错 房间 很大 卫生 干净 老板 外卖 送上来 只能 设施 位置 好找
酒店位置很好，在湘江边上，楼下餐饮，咖啡馆都有，很方便，房间整洁干净，面积也很大，适合旅行和差旅的人士，推荐！,酒店 位置 餐饮 咖啡馆 房间 整洁 干净 面积 很大 适合 差旅 人士 推荐
房间很干净，风景很好 能看到橘子洲。整体环境绝绝子，强烈安利 推荐！楼下还有网红餐厅天宝兄弟可以打卡，很方便,房间 干净 风景 整体 环境 推荐 网红 餐厅 兄弟 打卡
房间展示图片是实拍，比较宽敞，投影洗衣机基本设施齐全，楼下就是大名鼎鼎的天宝兄弟 吃饭也蛮方便。整体符合预期,房间 展示 图片 实拍 宽敞 投影 洗衣机 设施 兄弟 吃饭 整体 符合
位置一流，湘江橘子洲头一览无余。沿江散步到几个大的和五一广场步行街，长沙的打卡景点一天就逛完了。,位置 一流 散步 步行街 打卡 景点
房间位置好，设施齐全，卫生整洁，免费停车，十分满意！老板人很好，帮升级了房间，可以看到江景，推荐大家入住！,房间 位置 设施 卫生 整洁 停车 老板 房间 江景 推荐 入住
领导出差方便，停车方便，房间干净卫生，还可以看江，附近吃东西很多选择，楼下还有天宝兄弟。,领导 出差 停车 房间 干净 卫生 选择 兄弟
